nom, addresse, téléphone, site internet, réseaux sociaux, email, horaire, nombres de note, note, latitude, longitude, country, city, category, code, info, zip, url
"DIGITAL PASSENGERS", "74 Rue Georges Bonnac, 33000 Bordeaux", "05 40 05 62 99", "digital-passengers.com", "", "contact@digital-passengers.com", "lundi, de 09:00 à 18:30; mardi, de 09:00 à 18:30; mercredi, de 09:00 à 18:30; jeudi, de 09:00 à 18:30; vendredi, de 09:00 à 18:30; samedi, Fermé; dimanche, Fermé. ", "", "4,8  ", "44.839794", "-0.5855761", "France", "Bordeaux", "Agence de marketing", "RCQ7+PQ Bordeaux", "", "33000", "https://www.google.fr/maps/place/DIGITAL+PASSENGERS/data=!4m7!3m6!1s0xd5527c2d17df953:0xcda7c82f72820a6!8m2!3d44.8393678!4d-0.585531!16s%2Fg%2F11f2grypy7!19sChIJU_l90cInVQ0RpiAo94J82gw?authuser=0&hl=fr&rclk=1"
"Studio ASC", "24 Cr Georges Clemenceau, 33000 Bordeaux", "06 82 38 33 75", "studio-asc.com", "", "hello@studio-asc.com", "jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00. ", "22 ", "5,0  ", "44.842738", "-0.579407", "France", "Bordeaux", "Agence de marketing", "RCVC+38 Bordeaux", "", "33000", "https://www.google.fr/maps/place/Studio+ASC/data=!4m7!3m6!1s0xd5527a3be98fc3f:0xe7452c6e893b3a03!8m2!3d44.8426349!4d-0.5791897!16s%2Fg%2F11jcfs0nb9!19sChIJP_yYvqMnVQ0RAzo7iW4sRec?authuser=0&hl=fr&rclk=1"
"Agence SEO et référencement naturel à Bordeaux - 209 AGENCY", "7 Chem. du Pass. de Lartigue, 33290 Le Pian-Médoc", "06 84 59 07 78", "209-agency.com", "", "hello@209-agency.com", "dimanche, Fermé; lundi, de 09:00 à 12:00, de 14:00 à 18:00; mardi, de 09:00 à 12:00, de 14:00 à 18:00; mercredi, de 09:00 à 12:00, de 14:00 à 18:00; jeudi, de 09:00 à 12:00, de 14:00 à 18:00; vendredi, de 09:00 à 12:00, de 14:00 à 18:00; samedi, Fermé. ", "", "5,0  ", "", "", "France", "Le Pian Médoc", "Agence de marketing", "W8W6+34 Le Pian-Médoc", "", "33290", "https://www.google.fr/maps/place/Agence+SEO+et+r%C3%A9f%C3%A9rencement+naturel+%C3%A0+Bordeaux+-+209+AGENCY/data=!4m7!3m6!1s0xd55262a77833413:0xfbb8e178fa07a8f9!8m2!3d44.9452019!4d-0.6896299!16s%2Fg%2F11b7xl0xw8!19sChIJEzSDdyomVQ0R-agH-njhuPs?authuser=0&hl=fr&rclk=1"
"Markethique Digital", "15 Rue de Candale, 33000 Bordeaux", "06 47 95 40 49", "markethique-digital.com", "", "contact@markethique-digital.com", "dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00; jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé. ", "", "5,0  ", "44.8318537", "-0.5721807", "France", "Bordeaux", "Agence de marketing", "RCJH+P3 Bordeaux", "", "33000", "https://www.google.fr/maps/place/Markethique+Digital/data=!4m7!3m6!1s0xd5527511ce933d5:0x40a706be164ef284!8m2!3d44.8318492!4d-0.5722766!16s%2Fg%2F11hq0jykv2!19sChIJ1TPpHFEnVQ0RhPJOFr4Gp0A?authuser=0&hl=fr&rclk=1"
"Emotio Tourisme", "11 Cr de l'Intendance, 33000 Bordeaux", "06 08 25 36 14", "emotiotourisme.fr", "", "contact@emotiotourisme.fr", "samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 12:30, de 13:30 à 17:00; mardi, de 09:00 à 12:30, de 13:30 à 17:00; mercredi, de 09:00 à 12:30, de 13:30 à 17:00; jeudi, de 09:00 à 12:30, de 13:30 à 17:00; vendredi, de 09:00 à 12:30, de 13:30 à 17:00. ", "5 ", "4,2  ", "44.8419126", "-0.5771753522128787", "France", "Bordeaux", "Agence de marketing", "RCRF+VR Bordeaux", "", "33000", "https://www.google.fr/maps/place/Emotio+Tourisme/data=!4m7!3m6!1s0xd51406880d2d99b:0x774056e659339acd!8m2!3d44.8421384!4d-0.5754706!16s%2Fg%2F1vq76525!19sChIJm9nSgGhAUQ0RzZozWeZWQHc?authuser=0&hl=fr&rclk=1"
"Zest Marketing", "14 Rue Fourcand, 33400 Talence", "06 82 09 15 54", "zest-marketing.fr", "", "aude@zest-marketing.fr", "jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00. ", "1 ", "5,0  ", "44.815578", "-0.579802", "France", "Talence", "Agence de marketing", "RC8C+63 Talence", "", "33400", "https://www.google.fr/maps/place/Zest+Marketing/data=!4m7!3m6!1s0xd5527c208fcaacd:0xdd4097be4942022d!8m2!3d44.8155998!4d-0.5797668!16s%2Fg%2F11b6hsygqb!19sChIJzar8CMInVQ0RLQJCSb6XQN0?authuser=0&hl=fr&rclk=1"
"Firos - Agence de Marketing d'Influence", "85 Rue du Jardin public, 33000 Bordeaux", "06 81 18 12 90", "firos.fr", "", "contact@firos.fr", "dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00; jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé. ", "", "", "44.8534807", "-0.574969", "France", "Bordeaux", "Agence de marketing", "VC3G+92 Bordeaux", "", "33000", "https://www.google.fr/maps/place/Firos+-+Agence+de+Marketing+d%27Influence/data=!4m7!3m6!1s0x20e835ba96af2aa3:0x34c4c4563cc36940!8m2!3d44.8534878!4d-0.5749403!16s%2Fg%2F11tk33c301!19sChIJoyqvlro16CARQGnDPFbExDQ?authuser=0&hl=fr&rclk=1"
"L'Assemblage Bordeaux - Agence de Communication et Marketing Vins et Spiritueux", "39 Cr de Verdun, 33000 Bordeaux", "06 81 49 73 69", "lassemblage.eu", "", "fd@lassemblage.eu", "", "", "", "", "", "France", "Bordeaux", "Agence de marketing", "VC2F+6X Bordeaux", "", "33000", "https://www.google.fr/maps/place/L%27Assemblage+Bordeaux+-+Agence+de+Communication+et+Marketing+Vins+et+Spiritueux/data=!4m7!3m6!1s0xd55293621350aa3:0x5096e6ab241bf822!8m2!3d44.8505135!4d-0.5750513!16s%2Fg%2F11ptlrj0h4!19sChIJowo1ITYpVQ0RIvgbJKvmllA?authuser=0&hl=fr&rclk=1"
"Full Performance", "37-41 Bd Dubouchage, 06000 Nice", "09 80 80 00 01", "full-performance.com", "", "contact@full-performance.com", "dimanche, Fermé; lundi, de 08:30 à 18:30; mardi, de 08:30 à 18:30; mercredi, de 08:30 à 18:30; jeudi, de 08:30 à 18:30; vendredi, de 08:30 à 18:30; samedi, Fermé. ", "10 ", "4,6  ", "43.704178", "7.2736465", "France", "Nice", "Agence de marketing", "P729+8P Nice", "", "06000", "https://www.google.fr/maps/place/Full+Performance/data=!4m7!3m6!1s0x12cddb7704601fa7:0x94a6e5f8bcf56a68!8m2!3d43.700824!4d7.2693625!16s%2Fg%2F11j10vnbyq!19sChIJpx9gBHfbzRIRaGr1vPjlppQ?authuser=0&hl=fr&rclk=1"
"Disc'over : Création d'identité sonore", "19 Av. Bellevue, 06100 Nice", "06 51 08 55 27", "agencediscover.com", "", "contact@agencediscover.comOu", "", "", "", "43.7126943", "7.2573502", "France", "Nice", "Agence de marketing", "P774+3W Nice", "", "06100", "https://www.google.fr/maps/place/Disc%27over+:+Cr%C3%A9ation+d%27identit%C3%A9+sonore/data=!4m7!3m6!1s0xa3b2ba3c362105ef:0xa33b05f4a2b421c1!8m2!3d43.7127273!4d7.2572819!16s%2Fg%2F11tt13n02k!19sChIJ7wUhNjy6sqMRwSG0ovQFO6M?authuser=0&hl=fr&rclk=1"
"SH Lab", "358 Av. Sainte-Marguerite, 06200 Nice", "06 89 94 78 15", "shlab.fr", "", "community@shlab.fr", "jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00. ", "11 ", "5,0  ", "43.6812128", "7.206496", "France", "Nice", "Agence de marketing", "M5XX+7R Nice", "", "06200", "https://www.google.fr/maps/place/SH+Lab/data=!4m7!3m6!1s0x12cdd145d56acfaf:0xcf7d6383a0018f09!8m2!3d43.6982203!4d7.199528!16s%2Fg%2F11flkc0j3c!19sChIJr89q1UXRzRIRCY8BoINjfc8?authuser=0&hl=fr&rclk=1"
"Agence Madame Marketing", "", "07 68 83 98 82", "madamemarketing.fr", "", "celine.bernard@madamemarketing.fr", "lundi, de 08:00 à 20:00; mardi, de 08:00 à 20:00; mercredi, de 08:00 à 20:00; jeudi, de 08:00 à 20:00; vendredi, de 08:00 à 20:00; samedi, Fermé; dimanche, Fermé. ", "", "5,0  ", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/Agence+Madame+Marketing/data=!4m7!3m6!1s0x47e60dd7b56a8821:0x181396e159d0b6ae!8m2!3d48.68077!4d2.5026636!16s%2Fg%2F11f40y5x10!19sChIJIYhqtdcN5kcRrrbQWeGWExg?authuser=0&hl=fr&rclk=1"
"Dimona Marketing", "1 bis Rue Dagorno, 75012 Paris", "01 43 45 44 18", "dimona-marketing.fr", "", "dpo@dimona-marketing.fr", "", "", "3,1  ", "48.8425321", "2.4003641", "France", "Paris", "Agence de marketing", "R9RX+X8 Paris", "", "75012", "https://www.google.fr/maps/place/Dimona+Marketing/data=!4m7!3m6!1s0x47e673c1f680dd45:0xbd968e245c8f28c9!8m2!3d48.8424619!4d2.398316!16s%2Fg%2F11fhz5zjnx!19sChIJRd2A9sFz5kcRySiPXCSOlr0?authuser=0&hl=fr&rclk=1"
"YAZZIE - Agence de communication  Marketing", "9 Rue Lavoisier, 93100 Montreuil", "01 80 89 27 73", "yazzie.fr", "", "contact@yazzieagency.com", "jeudi, de 09:30 à 18:30; vendredi, de 09:30 à 18:30; samedi, Fermé; dimanche, Fermé; lundi, de 09:30 à 18:30; mardi, de 09:30 à 18:30; mercredi, de 09:30 à 18:30. ", "19 ", "5,0  ", "48.8540002", "2.4211622", "France", "Montreuil", "Agence de marketing", "VC3C+GF Montreuil", "", "93100", "https://www.google.fr/maps/place/YAZZIE+-+Agence+de+communication+%26+Marketing/data=!4m7!3m6!1s0x47e66f84ea0ca7d3:0xdfa5fff4509336cb!8m2!3d48.8538458!4d2.4211841!16s%2Fg%2F11gr1b1pxy!19sChIJ06cM6oRv5kcRyzaTUPT_pd8?authuser=0&hl=fr&rclk=1"
"Hybride marketing", "1 All. Magellan, 94600 Choisy-le-Roi", "07 82 23 33 56", "hybridemarketing.fr", "", "contact@hybridemarketing.fr", "dimanche, Fermé; lundi, de 10:00 à 18:00; mardi, de 10:00 à 18:00; mercredi, de 10:00 à 18:00; jeudi, de 10:00 à 18:00; vendredi, de 10:00 à 18:00; samedi, de 10:00 à 18:00. ", "", "4,8  ", "48.7546034", "2.4146996", "France", "Choisy le Roi", "Agence de marketing", "QC37+VR Choisy-le-Roi", "", "94600", "https://www.google.fr/maps/place/Hybride+marketing/data=!4m7!3m6!1s0x47e67567ef2fa14f:0xc9924e69c0eed468!8m2!3d48.7546653!4d2.4145818!16s%2Fg%2F11lgjrqqf_!19sChIJT6Ev72d15kcRaNTuwGlOksk?authuser=0&hl=fr&rclk=1"
"Growth Visibility Marketing", "61 Rue de Montreuil, 75011 Paris", "06 89 07 86 42", "growthvisibility.com", "", "flags@2x.png", "lundi, Ouvert 24h/24; mardi, Ouvert 24h/24; mercredi, Ouvert 24h/24; jeudi, Ouvert 24h/24; vendredi, Ouvert 24h/24; samedi, Ouvert 24h/24; dimanche, Fermé. ", "", "", "48.8505104", "2.3898361", "France", "Paris", "Agence de marketing", "V92Q+8W Paris", "", "75011", "https://www.google.fr/maps/place/Growth+Visibility+Marketing/data=!4m7!3m6!1s0x47e6736b436a3683:0x66222ed1869cf154!8m2!3d48.8507948!4d2.3897541!16s%2Fg%2F11s5tt_mgk!19sChIJgzZqQ2tz5kcRVPGchtEuImY?authuser=0&hl=fr&rclk=1"
"[Kanpei] Marketing", "51 Rue Boussingault, 75013 Paris", "06 87 60 80 26", "kanpei-marketing.com", "", "contact@kanpei-marketing.com", "vendredi, de 09:00 à 18:00; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi (Toussaint), de 09:00 à 18:00, Les horaires peuvent être modifiés.; jeudi, de 09:00 à 18:00. ", "", "", "48.8257296", "2.3424836", "France", "Paris", "Agence de marketing", "R8GR+7X Paris", "", "75013", "https://www.google.fr/maps/place/%5BKanpei%5D+Marketing/data=!4m7!3m6!1s0x47e67198046eaaab:0x7950aea288f6a49a!8m2!3d48.8256955!4d2.3423979!16s%2Fg%2F11g0hp1qlw!19sChIJq6puBJhx5kcRmqT2iKKuUHk?authuser=0&hl=fr&rclk=1"
"Kosmogram, agence de marketing digital", "", "06 43 42 49 97", "kosmogram.fr", "", "contact@kosmogram.fr", "lundi, de 09:00 à 19:00; mardi, de 09:00 à 19:00; mercredi, de 09:00 à 19:00; jeudi, de 09:00 à 19:00; vendredi, de 09:00 à 19:00; samedi, Fermé; dimanche, Fermé. ", "", "5,0  ", "", "", "France", "", "Agence de marketing", "", "", "", "https://www.google.fr/maps/place/Kosmogram,+agence+de+marketing+digital/data=!4m7!3m6!1s0x4a0ae282281bc829:0x9908e57f5ac1fde9!8m2!3d47.3318697!4d5.0322191!16s%2Fg%2F11nnpq4tkk!19sChIJKcgbKILiCkoR6f3BWn_lCJk?authuser=0&hl=fr&rclk=1"
"EcloLINK", "11 Bd Rembrandt, 21000 Dijon", "03 80 19 86 24", "eclolink.com", "", "contact@eclolink.com", "lundi, de 08:30 à 18:00; mardi, de 08:30 à 18:00; mercredi, de 08:30 à 18:00; jeudi, de 08:30 à 18:00; vendredi, de 08:30 à 18:00; samedi, Fermé; dimanche, Fermé. ", "", "5,0  ", "47.3494611", "5.0470187", "France", "Dijon", "Agence de marketing", "82XW+QQ Dijon", "", "21000", "https://www.google.fr/maps/place/EcloLINK/data=!4m7!3m6!1s0x47ed6207fe78d7b9:0xa2bc17186d690356!8m2!3d47.3494393!4d5.0468928!16s%2Fg%2F11b6d94tc1!19sChIJudd4_gdi7UcRVgNpbRgXvKI?authuser=0&hl=fr&rclk=1"
"Agence Les Intrépides", "20 Rue de la Liberté, 21000 Dijon", "06 32 42 52 77", "agencelesintrepides.fr", "", "l.coignet@agencelesintrepides.fr", "dimanche, Fermé; lundi, de 09:30 à 18:00; mardi, de 09:30 à 18:00; mercredi, de 09:30 à 18:00; jeudi, de 09:30 à 18:00; vendredi, de 09:30 à 18:00; samedi, de 09:30 à 18:00. ", "", "", "47.3226371", "5.036258", "France", "Dijon", "Agence de marketing", "82FP+3F Dijon", "", "21000", "https://www.google.fr/maps/place/Agence+Les+Intr%C3%A9pides/data=!4m7!3m6!1s0x47ed63616630bae1:0xd7ce275e5618f366!8m2!3d47.3226467!4d5.0362246!16s%2Fg%2F11mb0wm4vm!19sChIJ4bowZmFj7UcRZvMYVl4nztc?authuser=0&hl=fr&rclk=1"
"Kernel - Agence de communication  marketing", "60 Av. François Mitterrand, 72000 Le Mans", "02 43 25 99 59", "workwithkernel.com", "", "contact@workwithkernel.com", "lundi, de 09:30 à 12:30, de 14:00 à 18:00; mardi, de 09:30 à 12:30, de 14:00 à 18:00; mercredi, de 09:30 à 12:30, de 14:00 à 18:00; jeudi, de 09:30 à 12:30, de 14:00 à 18:00; vendredi, de 09:30 à 12:30, de 14:00 à 18:00; samedi, Fermé; dimanche (Réveillon de Noël), Fermé, Les horaires peuvent être modifiés.. ", "", "4,8  ", "47.9053924", "0.2445154", "France", "Le Mans", "Agence de marketing", "253X+5J Le Mans", "", "72000", "https://www.google.fr/maps/place/Kernel+-+Agence+de+communication+%26+marketing/data=!4m7!3m6!1s0x47e2895d8a160e75:0x36ecb5bb06a3d7f3!8m2!3d48.0029851!4d0.1990084!16s%2Fg%2F11sbbg0nfh!19sChIJdQ4Wil2J4kcR89ejBru17DY?authuser=0&hl=fr&rclk=1"
"Réulys", "29 Rue des Marais, 72000 Le Mans", "02 43 84 28 01", "reulys.com", "", "contact@reulys.com", "jeudi, de 09:00 à 18:00; vendredi, de 09:00 à 18:00; samedi, Fermé; dimanche, Fermé; lundi, de 09:00 à 18:00; mardi, de 09:00 à 18:00; mercredi, de 09:00 à 18:00. ", "14 ", "5,0  ", "47.9943757", "0.2137712", "France", "Le Mans", "Agence de marketing", "X6V7+QH Le Mans", "", "72000", "https://www.google.fr/maps/place/R%C3%A9ulys/data=!4m7!3m6!1s0x47e28fc57b54bd65:0x668a7a601a27c48f!8m2!3d47.9944356!4d0.2139147!16s%2Fg%2F11j8n4cpm3!19sChIJZb1Ue8WP4kcRj8QnGmB6imY?authuser=0&hl=fr&rclk=1"
"Agence de Communication | La Petite Pousse", "57 Bd Demorieux, 72100 Le Mans", "07 71 01 11 29", "lapetitepousse-agency.com", "", "contact@lpp-agency.com", "lundi, de 08:30 à 18:00; mardi, de 08:30 à 18:00; mercredi, de 08:30 à 18:00; jeudi, de 08:30 à 18:00; vendredi, de 08:30 à 18:00; samedi, Fermé; dimanche, Fermé. ", "", "5,0  ", "47.9934372", "0.1853021", "France", "Le Mans", "Agence de marketing", "X5VP+C5 Le Mans", "", "72100", "https://www.google.fr/maps/place/Agence+de+Communication+%7C+La+Petite+Pousse/data=!4m7!3m6!1s0xa6097354dd3799d1:0x7807cf9b897736b9!8m2!3d47.9935257!4d0.1854123!16s%2Fg%2F11sqp7sxv2!19sChIJ0Zk33VRzCaYRuTZ3iZvPB3g?authuser=0&hl=fr&rclk=1"
"RZ IDENTITY", "6 Rue Victor Bonhommet, 72000 Le Mans", "02 52 99 04 40", "rz-identity.fr", "", "contact@rz-identity.fr", "lundi, de 09:00 à 12:00, de 13:00 à 17:00; mardi, de 09:00 à 12:00, de 13:00 à 17:00; mercredi, de 09:00 à 12:00, de 13:00 à 17:00; jeudi, de 09:00 à 12:00, de 13:00 à 17:00; vendredi, de 09:00 à 12:00, de 13:00 à 17:00; samedi, Fermé; dimanche, Fermé. ", "", "", "48.0049839", "0.1965855", "France", "Le Mans", "Agence de marketing", "254W+3M Le Mans", "", "72000", "https://www.google.fr/maps/place/R%26Z+IDENTITY/data=!4m7!3m6!1s0x47e2895d697cae97:0x5356fb47f2ab4bad!8m2!3d48.0051841!4d0.1966824!16s%2Fg%2F11pzyvkj2b!19sChIJl658aV2J4kcRrUur8kf7VlM?authuser=0&hl=fr&rclk=1"
